subject,seed,stage,profile,profile_id,profile_role,source_front,selected_solution_id,weighted_modularity,Q_best,relative_modularity_loss,band_size,coupling,cohesion,imbalance,f_semantic,cluster_count,max_cluster_ratio,singleton_ratio,feasible,canonical_partition_identifier,canonical_partition_sha256,original_source_solution_id,source_front_row_index_zero_based,stage3_original_four_objective_row_index_zero_based
daytrader,5,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_05/pareto_front.csv,seed5_solution037,0.17798811290695934,0.17798811290695934,0,1,0.34501845018450183,5.6280864197530862,0.81416788718458177,0.66810918700495914,9,0.30188679245283018,0.037735849056603772,True,sha256:2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765,2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765,seed5_solution037,37,
daytrader,5,stage2,COUPLING,P2,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_05/pareto_front.csv,seed5_solution037,0.17798811290695934,0.17798811290695934,0,1,0.34501845018450183,5.6280864197530862,0.81416788718458177,0.66810918700495914,9,0.30188679245283018,0.037735849056603772,True,sha256:2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765,2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765,seed5_solution037,37,
daytrader,5,stage2,COHESION,P3,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_05/pareto_front.csv,seed5_solution037,0.17798811290695934,0.17798811290695934,0,1,0.34501845018450183,5.6280864197530862,0.81416788718458177,0.66810918700495914,9,0.30188679245283018,0.037735849056603772,True,sha256:2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765,2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765,seed5_solution037,37,
daytrader,5,stage2,SEMANTIC,P4,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_05/pareto_front.csv,seed5_solution037,0.17798811290695934,0.17798811290695934,0,1,0.34501845018450183,5.6280864197530862,0.81416788718458177,0.66810918700495914,9,0.30188679245283018,0.037735849056603772,True,sha256:2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765,2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765,seed5_solution037,37,
daytrader,5,stage3,MODULARITY_ANCHOR,P0,historical/reference modularity anchor,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_05/projected_front_3d.csv,seed5_solution034,0.31327326101904923,0.31327326101904923,0,3,0.43357933579335795,4.5533648170011807,0.81022303975788257,0.58432734734644742,11,0.22641509433962265,0.075471698113207544,True,sha256:dd32846fb45735dfac1e146571675c812ace86304d73858446ff03645cd8bfa9,dd32846fb45735dfac1e146571675c812ace86304d73858446ff03645cd8bfa9,seed5_solution034,25,34
daytrader,5,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_05/projected_front_3d.csv,seed5_solution035,0.29865534068163546,0.31327326101904923,0.046661883270417058,3,0.44557195571955721,9.2264143264143268,0.79827153967193121,0.59563224221651967,9,0.28301886792452829,0,True,sha256:e96c06b8b24784ba0b6acccfc558c6c81e953a892c6baeda00737ff7a65c6235,e96c06b8b24784ba0b6acccfc558c6c81e953a892c6baeda00737ff7a65c6235,seed5_solution035,26,35
daytrader,5,stage3,COUPLING,P2,descriptive preference sensitivity,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_05/projected_front_3d.csv,seed5_solution032,0.31058062339156584,0.31327326101904923,0.0085951722107545751,3,0.42527675276752769,4.674131928677383,0.83872116116576867,0.56248761180462803,11,0.24528301886792453,0.075471698113207544,True,sha256:991e4bab1861ed36cccf1c4986c4ba04d388bdf2bd473719663a878a9c4dad17,991e4bab1861ed36cccf1c4986c4ba04d388bdf2bd473719663a878a9c4dad17,seed5_solution032,23,32
daytrader,5,stage3,COHESION,P3,descriptive preference sensitivity,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_05/projected_front_3d.csv,seed5_solution035,0.29865534068163546,0.31327326101904923,0.046661883270417058,3,0.44557195571955721,9.2264143264143268,0.79827153967193121,0.59563224221651967,9,0.28301886792452829,0,True,sha256:e96c06b8b24784ba0b6acccfc558c6c81e953a892c6baeda00737ff7a65c6235,e96c06b8b24784ba0b6acccfc558c6c81e953a892c6baeda00737ff7a65c6235,seed5_solution035,26,35
daytrader,5,stage3,SEMANTIC,P4,descriptive preference sensitivity,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_05/projected_front_3d.csv,seed5_solution032,0.31058062339156584,0.31327326101904923,0.0085951722107545751,3,0.42527675276752769,4.674131928677383,0.83872116116576867,0.56248761180462803,11,0.24528301886792453,0.075471698113207544,True,sha256:991e4bab1861ed36cccf1c4986c4ba04d388bdf2bd473719663a878a9c4dad17,991e4bab1861ed36cccf1c4986c4ba04d388bdf2bd473719663a878a9c4dad17,seed5_solution032,23,32
daytrader,6,stage2,MODULARITY_ANCHOR,P0,historical/reference modularity anchor,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_06/pareto_front.csv,seed6_solution038,0.31986401073650955,0.31986401073650955,0,2,0.42158671586715868,7.6715963049296381,0.71797349397888477,0.58181152128561764,9,0.24528301886792453,0.018867924528301886,True,sha256:b3fd536920ae4cc20d204004da95c0215ec86392558e0ea27112cbe72079322b,b3fd536920ae4cc20d204004da95c0215ec86392558e0ea27112cbe72079322b,seed6_solution038,38,
daytrader,6,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_06/pareto_front.csv,seed6_solution038,0.31986401073650955,0.31986401073650955,0,2,0.42158671586715868,7.6715963049296381,0.71797349397888477,0.58181152128561764,9,0.24528301886792453,0.018867924528301886,True,sha256:b3fd536920ae4cc20d204004da95c0215ec86392558e0ea27112cbe72079322b,b3fd536920ae4cc20d204004da95c0215ec86392558e0ea27112cbe72079322b,seed6_solution038,38,
daytrader,6,stage2,COUPLING,P2,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_06/pareto_front.csv,seed6_solution036,0.31953232441687879,0.31986401073650955,0.0010369604222339136,2,0.41236162361623618,6.9686413586413583,0.78726966207641746,0.56596471509061086,10,0.24528301886792453,0.037735849056603772,True,sha256:48a8ec80a40977775c1a6b642ad6c0a76114b73b57b640c7d804558ea2c5a646,48a8ec80a40977775c1a6b642ad6c0a76114b73b57b640c7d804558ea2c5a646,seed6_solution036,36,
daytrader,6,stage2,COHESION,P3,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_06/pareto_front.csv,seed6_solution038,0.31986401073650955,0.31986401073650955,0,2,0.42158671586715868,7.6715963049296381,0.71797349397888477,0.58181152128561764,9,0.24528301886792453,0.018867924528301886,True,sha256:b3fd536920ae4cc20d204004da95c0215ec86392558e0ea27112cbe72079322b,b3fd536920ae4cc20d204004da95c0215ec86392558e0ea27112cbe72079322b,seed6_solution038,38,
daytrader,6,stage2,SEMANTIC,P4,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_06/pareto_front.csv,seed6_solution036,0.31953232441687879,0.31986401073650955,0.0010369604222339136,2,0.41236162361623618,6.9686413586413583,0.78726966207641746,0.56596471509061086,10,0.24528301886792453,0.037735849056603772,True,sha256:48a8ec80a40977775c1a6b642ad6c0a76114b73b57b640c7d804558ea2c5a646,48a8ec80a40977775c1a6b642ad6c0a76114b73b57b640c7d804558ea2c5a646,seed6_solution036,36,
daytrader,6,stage3,MODULARITY_ANCHOR,P0,historical/reference modularity anchor,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_06/projected_front_3d.csv,seed6_solution030,0.31407269100366292,0.31407269100366292,0,1,0.42988929889298894,6.423271173271174,0.83872116116576867,0.59149350778491272,11,0.24528301886792453,0.056603773584905662,True,sha256:f5267ed01a94447ba7127c3d2ec3bc15a56e355be527f337bf3405f685dcf4bb,f5267ed01a94447ba7127c3d2ec3bc15a56e355be527f337bf3405f685dcf4bb,seed6_solution030,28,30
daytrader,6,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_06/projected_front_3d.csv,seed6_solution030,0.31407269100366292,0.31407269100366292,0,1,0.42988929889298894,6.423271173271174,0.83872116116576867,0.59149350778491272,11,0.24528301886792453,0.056603773584905662,True,sha256:f5267ed01a94447ba7127c3d2ec3bc15a56e355be527f337bf3405f685dcf4bb,f5267ed01a94447ba7127c3d2ec3bc15a56e355be527f337bf3405f685dcf4bb,seed6_solution030,28,30
daytrader,6,stage3,COUPLING,P2,descriptive preference sensitivity,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_06/projected_front_3d.csv,seed6_solution030,0.31407269100366292,0.31407269100366292,0,1,0.42988929889298894,6.423271173271174,0.83872116116576867,0.59149350778491272,11,0.24528301886792453,0.056603773584905662,True,sha256:f5267ed01a94447ba7127c3d2ec3bc15a56e355be527f337bf3405f685dcf4bb,f5267ed01a94447ba7127c3d2ec3bc15a56e355be527f337bf3405f685dcf4bb,seed6_solution030,28,30
daytrader,6,stage3,COHESION,P3,descriptive preference sensitivity,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_06/projected_front_3d.csv,seed6_solution030,0.31407269100366292,0.31407269100366292,0,1,0.42988929889298894,6.423271173271174,0.83872116116576867,0.59149350778491272,11,0.24528301886792453,0.056603773584905662,True,sha256:f5267ed01a94447ba7127c3d2ec3bc15a56e355be527f337bf3405f685dcf4bb,f5267ed01a94447ba7127c3d2ec3bc15a56e355be527f337bf3405f685dcf4bb,seed6_solution030,28,30
daytrader,6,stage3,SEMANTIC,P4,descriptive preference sensitivity,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_06/projected_front_3d.csv,seed6_solution030,0.31407269100366292,0.31407269100366292,0,1,0.42988929889298894,6.423271173271174,0.83872116116576867,0.59149350778491272,11,0.24528301886792453,0.056603773584905662,True,sha256:f5267ed01a94447ba7127c3d2ec3bc15a56e355be527f337bf3405f685dcf4bb,f5267ed01a94447ba7127c3d2ec3bc15a56e355be527f337bf3405f685dcf4bb,seed6_solution030,28,30
daytrader,7,stage2,MODULARITY_ANCHOR,P0,historical/reference modularity anchor,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_07/pareto_front.csv,seed7_solution073,0.19136970918832827,0.19136970918832827,0,2,0.59963099630996308,6.9395833333333332,0.34533972108911559,0.73511672612756107,8,0.18867924528301888,0,True,sha256:9de866be7dc163627b213eb803540cc08ae7229aabaeda8997458b2adcbbf980,9de866be7dc163627b213eb803540cc08ae7229aabaeda8997458b2adcbbf980,seed7_solution073,73,
daytrader,7,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_07/pareto_front.csv,seed7_solution074,0.18738011209678532,0.19136970918832827,0.02084758924734928,2,0.60332103321033215,6.599503968253968,0.32843198463262663,0.74633925477584195,8,0.18867924528301888,0,True,sha256:adc8efbf959157516ac20b0de6984b0b1b42113f1dfafe767ed3f691d19ca3f4,adc8efbf959157516ac20b0de6984b0b1b42113f1dfafe767ed3f691d19ca3f4,seed7_solution074,74,
daytrader,7,stage2,COUPLING,P2,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_07/pareto_front.csv,seed7_solution073,0.19136970918832827,0.19136970918832827,0,2,0.59963099630996308,6.9395833333333332,0.34533972108911559,0.73511672612756107,8,0.18867924528301888,0,True,sha256:9de866be7dc163627b213eb803540cc08ae7229aabaeda8997458b2adcbbf980,9de866be7dc163627b213eb803540cc08ae7229aabaeda8997458b2adcbbf980,seed7_solution073,73,
daytrader,7,stage2,COHESION,P3,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_07/pareto_front.csv,seed7_solution073,0.19136970918832827,0.19136970918832827,0,2,0.59963099630996308,6.9395833333333332,0.34533972108911559,0.73511672612756107,8,0.18867924528301888,0,True,sha256:9de866be7dc163627b213eb803540cc08ae7229aabaeda8997458b2adcbbf980,9de866be7dc163627b213eb803540cc08ae7229aabaeda8997458b2adcbbf980,seed7_solution073,73,
daytrader,7,stage2,SEMANTIC,P4,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_07/pareto_front.csv,seed7_solution073,0.19136970918832827,0.19136970918832827,0,2,0.59963099630996308,6.9395833333333332,0.34533972108911559,0.73511672612756107,8,0.18867924528301888,0,True,sha256:9de866be7dc163627b213eb803540cc08ae7229aabaeda8997458b2adcbbf980,9de866be7dc163627b213eb803540cc08ae7229aabaeda8997458b2adcbbf980,seed7_solution073,73,
daytrader,7,stage3,MODULARITY_ANCHOR,P0,historical/reference modularity anchor,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_07/projected_front_3d.csv,seed7_solution038,0.321762643652728,0.321762643652728,0,1,0.40959409594095941,6.6752429388793022,0.92317960926226927,0.54686906915457834,11,0.26415094339622641,0.075471698113207544,True,sha256:c37eb48846ac30db5be26e50f8f2f3c6420ff624aa770aa2e7dd6ed7a265ead9,c37eb48846ac30db5be26e50f8f2f3c6420ff624aa770aa2e7dd6ed7a265ead9,seed7_solution038,30,38
daytrader,7,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_07/projected_front_3d.csv,seed7_solution038,0.321762643652728,0.321762643652728,0,1,0.40959409594095941,6.6752429388793022,0.92317960926226927,0.54686906915457834,11,0.26415094339622641,0.075471698113207544,True,sha256:c37eb48846ac30db5be26e50f8f2f3c6420ff624aa770aa2e7dd6ed7a265ead9,c37eb48846ac30db5be26e50f8f2f3c6420ff624aa770aa2e7dd6ed7a265ead9,seed7_solution038,30,38
daytrader,7,stage3,COUPLING,P2,descriptive preference sensitivity,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_07/projected_front_3d.csv,seed7_solution038,0.321762643652728,0.321762643652728,0,1,0.40959409594095941,6.6752429388793022,0.92317960926226927,0.54686906915457834,11,0.26415094339622641,0.075471698113207544,True,sha256:c37eb48846ac30db5be26e50f8f2f3c6420ff624aa770aa2e7dd6ed7a265ead9,c37eb48846ac30db5be26e50f8f2f3c6420ff624aa770aa2e7dd6ed7a265ead9,seed7_solution038,30,38
daytrader,7,stage3,COHESION,P3,descriptive preference sensitivity,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_07/projected_front_3d.csv,seed7_solution038,0.321762643652728,0.321762643652728,0,1,0.40959409594095941,6.6752429388793022,0.92317960926226927,0.54686906915457834,11,0.26415094339622641,0.075471698113207544,True,sha256:c37eb48846ac30db5be26e50f8f2f3c6420ff624aa770aa2e7dd6ed7a265ead9,c37eb48846ac30db5be26e50f8f2f3c6420ff624aa770aa2e7dd6ed7a265ead9,seed7_solution038,30,38
daytrader,7,stage3,SEMANTIC,P4,descriptive preference sensitivity,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_07/projected_front_3d.csv,seed7_solution038,0.321762643652728,0.321762643652728,0,1,0.40959409594095941,6.6752429388793022,0.92317960926226927,0.54686906915457834,11,0.26415094339622641,0.075471698113207544,True,sha256:c37eb48846ac30db5be26e50f8f2f3c6420ff624aa770aa2e7dd6ed7a265ead9,c37eb48846ac30db5be26e50f8f2f3c6420ff624aa770aa2e7dd6ed7a265ead9,seed7_solution038,30,38
daytrader,8,stage2,MODULARITY_ANCHOR,P0,historical/reference modularity anchor,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_08/pareto_front.csv,seed8_solution052,0.30536289334295563,0.30536289334295563,0,1,0.44234317343173429,5.452452408702408,0.60347870157431982,0.63157312385646613,8,0.24528301886792453,0.018867924528301886,True,sha256:6bc003cf411ce1eef005f605b674225f83e2168b247777e81ae03c46681861c6,6bc003cf411ce1eef005f605b674225f83e2168b247777e81ae03c46681861c6,seed8_solution052,52,
daytrader,8,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_08/pareto_front.csv,seed8_solution052,0.30536289334295563,0.30536289334295563,0,1,0.44234317343173429,5.452452408702408,0.60347870157431982,0.63157312385646613,8,0.24528301886792453,0.018867924528301886,True,sha256:6bc003cf411ce1eef005f605b674225f83e2168b247777e81ae03c46681861c6,6bc003cf411ce1eef005f605b674225f83e2168b247777e81ae03c46681861c6,seed8_solution052,52,
daytrader,8,stage2,COUPLING,P2,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_08/pareto_front.csv,seed8_solution052,0.30536289334295563,0.30536289334295563,0,1,0.44234317343173429,5.452452408702408,0.60347870157431982,0.63157312385646613,8,0.24528301886792453,0.018867924528301886,True,sha256:6bc003cf411ce1eef005f605b674225f83e2168b247777e81ae03c46681861c6,6bc003cf411ce1eef005f605b674225f83e2168b247777e81ae03c46681861c6,seed8_solution052,52,
daytrader,8,stage2,COHESION,P3,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_08/pareto_front.csv,seed8_solution052,0.30536289334295563,0.30536289334295563,0,1,0.44234317343173429,5.452452408702408,0.60347870157431982,0.63157312385646613,8,0.24528301886792453,0.018867924528301886,True,sha256:6bc003cf411ce1eef005f605b674225f83e2168b247777e81ae03c46681861c6,6bc003cf411ce1eef005f605b674225f83e2168b247777e81ae03c46681861c6,seed8_solution052,52,
daytrader,8,stage2,SEMANTIC,P4,descriptive preference sensitivity,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_08/pareto_front.csv,seed8_solution052,0.30536289334295563,0.30536289334295563,0,1,0.44234317343173429,5.452452408702408,0.60347870157431982,0.63157312385646613,8,0.24528301886792453,0.018867924528301886,True,sha256:6bc003cf411ce1eef005f605b674225f83e2168b247777e81ae03c46681861c6,6bc003cf411ce1eef005f605b674225f83e2168b247777e81ae03c46681861c6,seed8_solution052,52,
daytrader,8,stage3,MODULARITY_ANCHOR,P0,historical/reference modularity anchor,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_08/projected_front_3d.csv,seed8_solution042,0.15980663900273692,0.15980663900273692,0,1,0.53182656826568264,13.224944561157796,0.69555881476100989,0.78253928018257002,8,0.32075471698113206,0,True,sha256:1c6afd570005fbca8b0c914c6c35be66b6bb612d64e9499afea1aebe575bcab1,1c6afd570005fbca8b0c914c6c35be66b6bb612d64e9499afea1aebe575bcab1,seed8_solution042,36,42
daytrader,8,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_08/projected_front_3d.csv,seed8_solution042,0.15980663900273692,0.15980663900273692,0,1,0.53182656826568264,13.224944561157796,0.69555881476100989,0.78253928018257002,8,0.32075471698113206,0,True,sha256:1c6afd570005fbca8b0c914c6c35be66b6bb612d64e9499afea1aebe575bcab1,1c6afd570005fbca8b0c914c6c35be66b6bb612d64e9499afea1aebe575bcab1,seed8_solution042,36,42
daytrader,8,stage3,COUPLING,P2,descriptive preference sensitivity,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_08/projected_front_3d.csv,seed8_solution042,0.15980663900273692,0.15980663900273692,0,1,0.53182656826568264,13.224944561157796,0.69555881476100989,0.78253928018257002,8,0.32075471698113206,0,True,sha256:1c6afd570005fbca8b0c914c6c35be66b6bb612d64e9499afea1aebe575bcab1,1c6afd570005fbca8b0c914c6c35be66b6bb612d64e9499afea1aebe575bcab1,seed8_solution042,36,42
daytrader,8,stage3,COHESION,P3,descriptive preference sensitivity,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_08/projected_front_3d.csv,seed8_solution042,0.15980663900273692,0.15980663900273692,0,1,0.53182656826568264,13.224944561157796,0.69555881476100989,0.78253928018257002,8,0.32075471698113206,0,True,sha256:1c6afd570005fbca8b0c914c6c35be66b6bb612d64e9499afea1aebe575bcab1,1c6afd570005fbca8b0c914c6c35be66b6bb612d64e9499afea1aebe575bcab1,seed8_solution042,36,42
